	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
SERPINB8	2.90237207	4.265728767	1.601124185	4.19771155	1.852254234	7.537412953	4.723993093	2.870711684	2.731597227	4.26647	3.5804	6.431016139	4.197820848	4.432306176	8.811148688	2.751915195	1.559026476	6.16325957	5.499128377	2.21055	5.524329649	5.18002	6.031393689	1.965018852	4.003281684	5.41674619	4.277054107	4.740468934	1.566717379	3.112643689	4.391006999	4.052108767	5.402286266	2.65081	3.338341268	5.172698767	2.045043093	1.364067499	3.457205195	2.2063	3.909643754	2.84237	8.304808688	2.183506476	3.302840581	3.542930581	5.736516139	0.435567227	3.57639155	2.595085663	4.719770672	5.089071905	4.096780848	5.586407338	4.982300593	2.51861	2.4416	2.380433348	5.128472759	4.889196176	3.107037379	4.53223207	3.837710581	3.211678934	3.312026346	2.58815314	3.281477379	1.745076476	4.319780848	4.73452147	3.405181733	4.221507227	3.227543093	5.002665735	2.63182147	3.133513349	5.253683754	1.808586176	6.448541905	2.346895663	-0.214653001	2.82181	4.90014147	2.541275254	3.904421268	3.635893689	1.652300672	0.97445	0.637035254	7.151791503	5.195111268	3.654968852	0.89377	7.759577338	5.980455663	8.043658688	2.126026472	4.764078852	4.362637338
SERPINB6	4.36825207	5.578428767	3.237104185	4.55471155	2.573304234	5.629812953	4.834623093	3.400861684	5.125607227	4.47195	4.89929	5.678456139	4.186590848	5.018846176	7.856748688	3.808275195	2.317976476	5.68908957	5.391768377	3.89396	4.856719649	4.90288	4.984463689	2.904678852	4.835421684	4.73109619	4.145954107	5.288728934	1.631217379	4.400663689	4.065696999	4.521128767	5.439046266	3.06227	3.751071268	5.586738767	2.605303093	2.735627499	3.692875195	3.12017	4.100583754	3.90724	6.845658688	3.228206476	4.227890581	3.668420581	5.012116139	0.908127227	4.30554155	3.643465663	4.232420672	4.472941905	3.708830848	5.557967338	4.122350593	2.84644	3.51737	3.094353348	4.916242759	5.072486176	3.332177379	4.23814207	3.905490581	3.006878934	3.914806346	3.50155314	3.266257379	2.993196476	4.432330848	4.26315147	3.845251733	4.098767227	3.807253093	4.607455735	3.71224147	4.895893349	4.976373754	1.994276176	5.527401905	2.880055663	2.272846999	3.33471	3.97459147	3.557735254	3.973641268	3.526473689	2.257040672	3.85683	1.309615254	5.857681503	4.652961268	3.757178852	2.62271	6.723227338	5.349515663	7.002428688	2.982756472	4.813208852	4.591897338
CDHR5	0.0	0.721778767	0.664874185	0.56776155	0.349564234	-0.056987047	0.494983093	-0.042038316	0.0	0.35258	0.39665	-0.092673861	0.113430848	1.210876176	1.912798688	-0.067804805	0.0	0.33772957	-0.027721623	0.39794	0.783889649	0.20671	0.497323689	0.878748852	-0.051318316	-0.22815381	-0.153095893	-0.175051066	0.517437379	2.095513689	0.056946999	0.603618767	-0.318503734	0.29124	0.280221268	0.0	0.442143093	0.0	0.131555195	0.42526	-0.381776246	0.21811	0.048658688	0.067636476	0.292030581	0.190490581	-0.145653861	0.210457227	0.56448155	0.069845663	0.165240672	-0.229158095	0.478310848	0.555427338	-0.249419407	0.40235	0.25459	0.417163348	0.405532759	0.117276176	0.406627379	0.0	0.287780581	-0.158201066	0.202016346	0.09138314	0.554057379	-0.032163524	0.119700848	0.44095147	0.0	0.067547227	0.186003093	0.106805735	0.02075147	1.148273349	-0.305956246	-0.051893824	-0.030438095	0.377185663	0.0	0.11372	0.07493147	0.665185254	0.118441268	0.666293689	0.133120672	0.0	0.257945254	0.0	0.0	-0.107411148	0.29101	0.539017338	0.412335663	1.038108688	0.469556472	0.072718852	0.315377338
CCDC80	8.83250207	10.95426877	5.847034185	7.74602155	9.172684234	9.525582953	9.427623093	9.671771684	6.118507227	11.24548	7.75856	8.930496139	9.098120848	11.95047618	11.62156869	10.00760519	9.772636476	11.07043957	7.319408377	10.61116	10.69821965	10.8716	10.38814369	8.052238852	8.511181684	7.59453619	9.170114107	8.910728934	6.080217379	8.863143689	9.062266999	10.13982877	7.088536266	7.18035	9.869331268	10.17047877	6.519903093	9.369707499	9.714835195	8.68711	9.357353754	9.82732	8.913058688	7.436556476	9.151790581	7.227380581	9.299166139	7.587927227	10.58998155	8.733335663	8.262350672	8.611681905	6.944770848	9.408607338	9.383420593	7.85778	8.1919	10.01519335	10.32818276	9.961486176	10.04100738	8.72621207	8.982320581	9.063248934	8.735416346	9.64227314	10.91940738	8.057916476	9.088190848	9.69374147	9.301391733	9.045197227	9.273113093	10.42640574	9.93256147	11.82504335	10.07158375	8.304386176	8.985031905	10.27263566	6.978056999	9.74208	5.37510147	10.08181525	9.114371268	9.614913689	8.172540672	2.71246	8.660375254	8.413201503	9.875221268	9.850418852	7.51443	9.928017338	10.69947566	8.945988688	8.323666472	10.40298885	9.332627338
CA13	1.54263207	2.580238767	0.702774185	1.69349155	0.747434234	3.544692953	1.486783093	0.669151684	1.597237227	0.98128	1.34275	2.345646139	0.690210848	1.932816176	5.409378688	0.747035195	0.948356476	2.53335957	1.049168377	0.78963	2.667809649	1.62831	1.761303689	0.0	1.527801684	0.48305619	0.920544107	1.468258934	0.334607379	1.550053689	0.864066999	1.740108767	1.098846266	0.78554	0.891631268	2.038208767	0.563403093	0.943327499	1.095615195	0.46217	0.351893754	1.13997	4.251928688	0.0	0.921690581	1.071970581	1.354736139	-0.133562773	1.11577155	0.695185663	0.701890672	1.211731905	1.462340848	1.314217338	1.218670593	0.42932	0.84772	0.792343348	2.020812759	2.008056176	1.019567379	0.83125207	0.796460581	0.121558934	0.817456346	0.34519314	0.861927379	-0.067073524	0.391850848	1.25004147	1.081301733	1.232477227	0.0	1.723685735	0.72161147	1.262033349	1.733103754	0.086606176	1.448841905	0.161275663	-0.394283001	0.67409	1.23230147	1.683795254	0.448171268	1.306283689	0.286530672	0.10991	0.0	1.804701503	1.469101268	0.400678852	0.24017	2.727487338	2.369975663	4.506158688	0.169636472	1.313408852	0.553897338
SEMA3F	1.19415207	0.789858767	0.843804185	0.70638155	0.0	0.462632953	0.356563093	0.0	0.417267227	0.44857	0.38069	0.285996139	0.283620848	1.652856176	1.924988688	-0.088964805	1.408896476	0.88398957	-0.145411623	0.80374	0.634409649	0.73323	0.704743689	0.983758852	0.038551684	-0.34242381	-0.010095893	0.101438934	0.500377379	2.067603689	0.001866999	0.412328767	0.193426266	0.52294	0.159581268	0.536568767	0.624713093	0.724777499	0.041825195	0.0654	-0.172046246	0.43542	0.649068688	-0.047123524	0.519680581	0.311420581	0.458996139	0.0	0.47143155	0.107655663	0.525270672	-0.318798095	0.470300848	0.480167338	0.039640593	0.07869	0.24341	0.307933348	0.707212759	0.246616176	0.309507379	-0.07145793	0.379790581	0.0	0.600256346	0.06335314	0.240847379	0.366896476	0.294770848	0.44524147	0.804281733	0.225927227	0.168063093	0.592325735	-0.05806853	1.576693349	-0.021356246	-0.121263824	-0.038898095	0.196595663	0.0	0.40191	0.50477147	0.823755254	0.237991268	0.568183689	0.084710672	0.27024	0.628175254	0.161271503	0.085481268	-0.133951148	0.2591	0.909667338	0.285145663	0.981938688	0.251266472	0.510288852	0.163307338
KLK10	1.34745207	1.234278767	0.0	0.68219155	2.188864234	0.936242953	3.770103093	1.936021684	0.0	0.99334	1.12098	1.068676139	0.811290848	1.876156176	3.992528688	0.349105195	0.0	1.63948957	2.216538377	0.58794	0.967489649	1.20651	1.978573689	0.0	0.687141684	2.51811619	-0.354705893	1.760148934	0.0	1.556703689	1.640386999	2.414978767	1.135086266	0.0	0.754911268	1.266338767	0.395253093	1.180297499	1.494085195	0.13643	2.877723754	0.89381	3.780458688	0.0	0.646520581	1.345140581	4.606706139	0.0	2.07959155	0.227715663	3.246510672	2.570881905	0.497130848	0.865447338	0.637980593	0.72267	2.07401	0.452603348	1.305592759	1.067186176	1.180217379	-0.08014793	0.533480581	0.608148934	0.782386346	1.52713314	2.154477379	0.381586476	0.568810848	1.22514147	0.739641733	1.539387227	1.235543093	1.226885735	1.67176147	1.551783349	2.497203754	2.772366176	3.127121905	0.691225663	0.0	0.74593	2.89547147	2.580905254	0.677441268	1.031343689	1.990400672	0.0	0.0	2.341131503	2.514441268	1.494448852	0.07223	2.354357338	1.146555663	1.963888688	0.783736472	0.261588852	2.699667338
PILRB	3.90673207	3.873238767	3.087524185	4.26630155	4.477174234	5.364602953	5.093263093	4.654241684	2.679197227	3.88735	3.44376	3.542486139	5.010840848	3.581346176	7.735328688	3.930065195	3.135976476	5.97678957	4.328158377	1.90783	5.720769649	3.19832	5.942633689	3.843948852	2.463691684	5.06317619	4.403364107	4.936018934	2.341697379	2.781983689	2.916746999	5.289778767	4.270736266	3.26645	3.768051268	5.678828767	2.391853093	3.563807499	4.393995195	4.09566	5.329843754	2.93788	7.203148688	3.061106476	3.580780581	4.074910581	4.185866139	2.191207227	4.62151155	3.439825663	5.382260672	4.800511905	4.075750848	5.355687338	4.820650593	3.87641	5.06153	3.539613348	5.031652759	5.466626176	4.593397379	5.09319207	4.839610581	5.142548934	4.226396346	1.97203314	5.060277379	3.276636476	3.297120848	3.38373147	4.506161733	5.267497227	4.418243093	5.421415735	2.52323147	4.228543349	5.884563754	3.585886176	6.302251905	4.467685663	1.727336999	4.62345	4.18537147	3.857555254	4.705901268	4.171343689	2.272420672	2.61981	2.238595254	5.903441503	5.273431268	4.680858852	3.36235	6.237527338	6.094315663	7.055438688	3.969056472	5.035188852	5.586567338
ANGPTL1	2.18211207	3.889038767	3.212164185	1.37265155	1.187554234	0.933872953	2.013783093	0.772571684	3.319227227	1.62511	1.51764	1.952716139	1.734790848	3.340836176	3.944768688	0.336025195	1.765046476	2.28272957	0.677398377	2.35898	1.695249649	2.96081	1.328043689	1.952538852	0.706481684	1.13788619	-0.105325893	1.977128934	0.0	2.047863689	0.254816999	1.858078767	-0.017713734	0.14009	1.079591268	1.316198767	0.928933093	1.169337499	1.005875195	1.05487	0.723393754	1.35914	1.398748688	0.0	1.018770581	0.285420581	0.412256139	0.0	2.43066155	1.126285663	2.969750672	0.500971905	0.0	2.731647338	1.403700593	1.31165	1.09083	2.071013348	1.526152759	2.746566176	3.904027379	1.81865207	1.445300581	-0.120671066	0.635096346	1.31116314	0.945237379	1.061956476	0.083530848	0.76028147	2.046321733	1.485677227	1.628303093	1.987695735	1.04369147	4.188013349	1.372243754	0.573396176	1.331301905	3.017825663	3.571046999	1.65035	0.68684147	2.387735254	1.147291268	2.448823689	1.294230672	0.45278	1.712065254	1.862901503	1.492911268	1.193948852	1.9684	2.245947338	2.663035663	2.046658688	0.669876472	2.061438852	1.912157338
TYMP	4.16901207	7.148088767	3.787884185	7.15415155	4.306864234	8.608072953	7.734633093	6.048841684	3.784807227	8.15273	0.56066	7.778106139	4.926090848	6.916006176	11.23086869	2.795045195	3.211186476	9.87341957	5.834168377	5.26721	8.926199649	9.18491	8.828893689	2.747928852	4.859321684	8.15985619	4.103744107	7.763258934	1.753197379	3.663653689	5.552336999	6.924398767	5.222286266	1.62609	5.864471268	7.684998767	4.222313093	3.801747499	5.326365195	4.006	6.541773754	4.83812	10.24906869	2.193196476	4.615160581	6.381740581	7.432236139	3.229277227	6.43395155	5.219055663	8.709040672	8.759691905	3.148740848	8.068117338	5.369740593	3.70338	3.98952	3.198443348	7.602872759	7.327076176	6.119427379	6.35554207	5.250490581	3.603168934	4.772016346	3.59171314	5.609247379	3.966896476	3.787400848	4.47893147	5.171161733	4.676707227	5.073243093	7.631015735	4.52887147	7.175833349	7.548253754	4.624826176	7.565791905	5.397675663	1.426386999	4.58272	8.05944147	6.089195254	5.770401268	5.186013689	5.184420672	5.19036	3.427515254	9.154761503	6.495161268	5.537878852	3.91566	9.516377338	9.875415663	11.12483869	3.854896472	6.092728852	7.186627338
GRAP2	0.0	0.795048767	0.0	0.32768155	0.270444234	0.266382953	0.762453093	0.0	0.172407227	0.65713	0.0	0.655396139	0.018170848	1.242736176	2.796528688	0.0	1.089806476	1.47054957	0.465948377	0.31316	0.510869649	0.18538	0.853983689	0.0	-0.160448316	0.33491619	-0.006005893	0.268328934	0.293657379	1.246283689	0.032596999	0.0	1.034516266	0.04256	0.102061268	0.724268767	0.712853093	0.588167499	0.143155195	0.0	0.198273754	0.0	1.770208688	0.0	0.298080581	0.629560581	0.532096139	0.0	0.31455155	0.207735663	1.465830672	-0.098828095	0.310240848	1.131897338	0.437040593	0.0	0.17919	0.156973348	1.458272759	0.310696176	0.0	0.39703207	0.479050581	-0.170051066	0.257546346	-0.14414686	0.0	0.232966476	0.175530848	-0.03040853	0.836011733	0.086857227	0.269433093	0.264715735	0.20519147	0.775963349	-0.232946246	0.0	0.586051905	0.0	0.0	0.27177	1.37237147	0.568225254	0.709861268	0.500093689	0.069020672	0.0	0.0	0.740641503	-0.156728732	0.0	0.03306	0.854567338	0.468695663	2.178158688	0.0	0.123688852	0.0
LILRA5	1.05302207	0.773868767	0.0	0.96617155	1.321924234	2.777072953	1.662753093	0.402641684	0.660207227	0.6125	0.2447	1.793156139	0.456330848	1.560186176	3.938258688	0.319585195	1.346066476	2.07095957	1.833138377	0.57982	1.368989649	1.48781	1.630643689	0.836898852	0.093711684	2.01444619	0.698054107	0.794748934	0.622247379	1.509763689	0.801526999	0.958108767	1.548336266	0.43481	0.662591268	1.379488767	0.787033093	0.720697499	0.838325195	0.05972	0.849643754	0.29725	2.766588688	0.178676476	0.594450581	1.587240581	1.054216139	0.004357227	0.66883155	0.546505663	1.501280672	0.960251905	0.926530848	1.573707338	0.794440593	0.32888	0.22601	0.658553348	1.522912759	0.900936176	0.679967379	0.74431207	0.604270581	0.808048934	0.834616346	0.90573314	1.072537379	0.061566476	1.067030848	1.02335147	1.177861733	0.432137227	0.404493093	1.275775735	0.39463147	1.237763349	0.569673754	-0.033823824	2.251701905	0.045915663	0.0	0.51138	1.74236147	1.718335254	1.108541268	0.997403689	0.966220672	0.23176	0.338305254	2.078371503	1.481191268	1.314438852	0.32053	2.883707338	1.462475663	2.754368688	0.691936472	0.554588852	0.433747338
ALDH1A1	2.12405207	3.663258767	1.311904185	3.56926155	0.524264234	3.143022953	2.522473093	0.698971684	2.759317227	2.29104	1.50887	3.694956139	1.552270848	3.604336176	5.921398688	0.0	0.0	3.78767957	2.724478377	3.04722	3.211659649	3.30865	3.330343689	1.419498852	1.475021684	2.75849619	0.312044107	3.332898934	0.0	2.878683689	2.214396999	2.152798767	0.775686266	0.09529	1.238361268	3.428898767	2.553523093	0.951117499	0.927615195	0.397	2.117243754	1.28428	4.989748688	0.0	2.008360581	1.881100581	2.099946139	0.0	1.85464155	1.657525663	3.072040672	1.779451905	0.552240848	4.155407338	0.352160593	0.57587	0.89981	0.349653348	2.723392759	2.377696176	2.304507379	2.11184207	1.924530581	-0.124491066	1.905326346	1.04764314	0.413367379	0.783136476	1.027740848	0.35665147	1.323861733	1.157257227	1.130673093	2.810645735	0.54635147	2.985523349	1.928353754	0.597876176	3.140711905	1.236585663	0.185216999	1.2764	2.84435147	2.443655254	1.671151268	2.386863689	0.845780672	2.66212	0.626125254	3.636771503	1.645951268	1.194558852	1.22057	3.447477338	3.656785663	4.506148688	0.837086472	1.912348852	2.836397338
CD79B	0.91960207	0.311798767	0.0	0.44661155	0.332434234	0.277722953	0.311023093	0.0	0.212857227	0.22742	0.0	0.589586139	0.187680848	1.013026176	2.048888688	-0.105494805	0.871326476	0.87174957	-0.169791623	0.26264	0.429649649	0.01575	0.564883689	0.821658852	-0.131388316	0.53408619	0.407844107	-0.146991066	0.297037379	0.0	-0.319873001	0.329198767	1.878276266	0.0	-0.064248732	0.515518767	0.374333093	0.0	-0.113794805	0.16855	-0.403116246	0.0777	1.647158688	-0.029053524	0.709060581	0.367020581	0.653546139	0.0	0.0	0.247435663	0.425560672	-0.196278095	0.272890848	0.295207338	0.529660593	0.0	0.15935	0.0	0.883862759	0.020906176	0.231547379	-0.30570793	1.575890581	0.0	0.254666346	-0.10619686	0.0	0.0	0.304640848	0.01759147	0.840501733	0.844067227	0.0	0.388695735	0.18141147	0.0	-0.149686246	0.0	0.395621905	0.0	0.0	0.21685	0.01968147	0.750665254	0.143631268	0.167253689	0.131570672	0.08558	0.0	0.748391503	0.0	0.0	0.49491	0.640227338	0.367305663	1.145978688	0.090716472	0.820948852	0.520077338
ANXA4	4.64723207	5.258488767	4.488204185	4.99644155	0.256534234	5.091212953	4.666023093	2.994841684	4.255967227	5.05503	5.04162	4.804816139	4.427740848	5.339156176	7.389488688	3.063155195	3.690126476	5.28740957	3.555078377	4.2039	5.320939649	4.43985	4.717303689	4.210648852	4.803591684	3.89369619	2.903504107	4.714458934	0.999417379	5.504383689	1.690116999	6.030888767	2.945516266	3.79814	4.124671268	5.371568767	4.129723093	3.171137499	2.349085195	4.15734	2.414063754	4.77004	6.019918688	0.610636476	4.063670581	2.909240581	3.623436139	-0.149712773	4.35354155	3.852535663	4.990720672	3.798441905	4.740870848	5.235927338	3.780780593	2.97255	3.30812	3.675753348	3.931992759	4.677856176	5.055937379	3.42676207	4.647570581	-0.182301066	3.808576346	2.11846314	2.648597379	3.135366476	3.882730848	3.86693147	4.348121733	4.512487227	4.089273093	4.282545735	3.01599147	5.388293349	3.974793754	1.409326176	4.011691905	3.595565663	3.776546999	3.67692	4.27767147	3.226335254	3.949261268	4.343513689	0.708470672	4.3712	3.805745254	4.798291503	3.459681268	2.895508852	2.84255	5.035997338	5.198585663	6.253698688	3.798866472	4.699858852	4.444587338
ANXA11	4.05892207	5.432178767	4.453284185	4.14281155	1.700664234	4.916462953	4.604973093	4.322011684	5.804707227	3.95512	3.63457	5.007446139	4.146930848	5.220346176	7.573188688	2.553955195	3.057426476	5.72528957	4.601138377	5.47881	5.442079649	4.06958	4.658823689	3.657408852	3.747881684	5.35618619	3.382574107	5.202838934	1.163747379	3.782763689	3.804806999	3.891368767	4.797516266	3.09669	2.339311268	4.606988767	4.256933093	1.564627499	3.073575195	2.91158	4.188593754	3.3579	6.112038688	2.141926476	3.747200581	3.300190581	4.305896139	1.479387227	3.38086155	2.825035663	4.671240672	5.841751905	2.944410848	5.206247338	4.732570593	2.88729	4.81776	5.055703348	4.702572759	4.274136176	3.602237379	3.36618207	3.856610581	2.650358934	2.909236346	2.43127314	2.118387379	3.637286476	3.421300848	4.02689147	5.601191733	3.936007227	4.419453093	4.987235735	4.11574147	5.577973349	5.386033754	3.173626176	4.969191905	4.206585663	5.480136999	3.64891	5.48177147	3.296115254	5.015511268	4.466773689	2.080850672	4.56323	2.916155254	6.019551503	5.009121268	5.248698852	4.57175	6.684107338	5.043845663	6.357708688	3.631446472	4.815468852	4.489657338
SIGLEC7	1.38883207	1.900248767	1.491744185	2.39957155	1.276964234	4.879862953	3.583263093	2.694081684	0.679117227	2.28988	1.06775	3.904026139	2.297840848	2.822356176	6.606738688	1.773855195	2.387296476	4.15570957	3.681378377	1.72872	3.503599649	3.63798	4.123623689	2.586088852	1.204441684	4.16407619	2.491934107	3.626048934	1.407487379	2.300343689	2.795166999	2.245218767	3.672766266	1.96998	1.543771268	2.836928767	4.001983093	1.355787499	1.979725195	1.47722	3.277143754	1.28513	4.835258688	0.924366476	2.405260581	2.475470581	3.284806139	0.716227227	2.74022155	2.067665663	3.415750672	3.201241905	2.761940848	4.163177338	3.267160593	1.14029	2.18734	1.952313348	3.958702759	3.484886176	2.231027379	3.04244207	3.283090581	2.782018934	2.670676346	2.89096314	1.772057379	1.213376476	3.236140848	3.16902147	2.532391733	2.418067227	3.139913093	3.767165735	2.76159147	2.941023349	3.479393754	1.180576176	4.177111905	1.889465663	-0.080153001	2.73147	3.78466147	1.440775254	3.928461268	3.871693689	1.831210672	0.74911	1.102835254	5.317801503	2.621031268	2.445258852	2.07449	4.347707338	3.589715663	5.723928688	1.979736472	2.692258852	3.081217338
QDPR	4.10118207	5.393368767	2.008524185	3.41053155	0.860474234	5.051662953	3.372543093	2.844471684	3.839847227	3.7276	5.20827	4.433056139	3.197990848	4.742836176	6.826018688	3.345005195	0.892406476	4.99390957	3.208778377	3.58209	3.902579649	4.47442	4.330093689	1.922608852	4.779771684	1.81044619	3.762714107	4.275028934	0.952697379	4.016323689	3.046346999	4.252078767	2.833766266	2.50146	3.468931268	5.328078767	2.666843093	2.788977499	3.137425195	2.80983	2.061413754	3.5672	6.016698688	0.298966476	3.839210581	3.350170581	3.551166139	0.462497227	3.73074155	2.891525663	3.387090672	3.042841905	3.150970848	4.689807338	3.087170593	2.46792	2.23033	2.758283348	3.673382759	4.427466176	3.197707379	2.84598207	2.942740581	0.634698934	2.751276346	2.62164314	2.740757379	2.089376476	2.980960848	3.54668147	3.025161733	3.330767227	2.544543093	3.586185735	3.03906147	3.874423349	3.597813754	1.218166176	3.655401905	1.912315663	1.699716999	2.72669	3.22896147	3.063075254	2.238961268	3.258143689	1.468650672	3.50737	0.854685254	4.200341503	3.234791268	2.856958852	0.89669	4.234797338	4.545515663	6.893478688	1.929116472	4.352088852	3.719617338
SNAP23	0.68120207	1.331018767	0.0	0.33472155	0.346874234	1.602452953	0.927203093	0.485331684	0.796487227	0.6648	0.7174	1.260926139	0.289750848	1.301096176	3.903228688	0.0	0.0	1.72251957	2.302608377	0.31391	0.853709649	0.37364	1.254323689	0.814438852	0.324331684	2.17454619	0.496784107	1.157098934	0.265077379	0.0	0.631726999	0.653338767	1.464216266	0.0	0.232001268	1.035738767	0.886703093	0.0	0.800525195	0.17712	1.012633754	0.16016	2.206658688	0.232606476	0.501190581	0.518510581	0.857366139	0.0	0.27585155	0.221785663	0.519170672	0.170091905	0.475840848	0.987737338	0.797830593	0.0	0.41093	0.150603348	1.115862759	0.819916176	0.400627379	0.13615207	0.372720581	0.170978934	0.316866346	0.08876314	0.0	0.007716476	1.173020848	0.42249147	0.0	0.777927227	0.363853093	1.117075735	0.67719147	1.438773349	0.711553754	0.0	1.494641905	0.0	0.0	0.50393	1.04366147	0.439855254	0.623571268	0.841893689	0.0	0.0	0.0	1.835371503	1.072751268	0.274908852	0.0	1.726357338	1.012515663	3.043918688	0.370806472	0.895048852	0.342277338
APEX1	7.74048207	7.553708767	4.801944185	7.17051155	6.777704234	7.587082953	7.557033093	6.671861684	5.592487227	7.24571	7.66268	7.870096139	6.812500848	8.103886176	9.809528688	6.929165195	4.259756476	8.12482957	8.032288377	6.68986	8.016309649	7.68983	7.949753689	6.855648852	7.943941684	7.35552619	7.553244107	7.117848934	4.792307379	7.086243689	6.909176999	7.838818767	7.773436266	5.87216	6.891261268	8.192358767	5.499313093	5.544637499	7.201295195	6.1335	6.390703754	6.82092	8.758298688	6.339596476	6.759030581	6.717590581	7.515866139	4.170897227	7.47091155	6.549055663	7.813800672	6.807161905	7.537110848	7.491097338	7.697590593	6.41413	6.5498	6.631243348	7.040892759	8.096726176	7.341397379	6.43432207	6.848490581	6.749138934	6.715456346	7.10226314	7.263067379	5.242316476	7.293120848	7.08272147	6.461041733	7.524017227	7.175013093	7.431185735	7.03729147	7.701063349	7.119533754	5.557536176	7.506121905	6.197265663	4.817156999	6.72392	6.73008147	6.293835254	6.727561268	7.031433689	4.933820672	5.32422	3.996165254	7.649491503	7.449381268	7.098858852	3.16977	8.202277338	8.035665663	8.102458688	6.311176472	7.442568852	6.925067338
COMT	0.88672207	2.343158767	0.446314185	2.59432155	0.0	2.935802953	2.618383093	2.186771684	1.399687227	1.4062	0.56199	3.140456139	1.631490848	2.862446176	6.312168688	0.456385195	1.317066476	3.60051957	2.395728377	1.73615	2.601209649	2.66531	2.364243689	1.183448852	0.176031684	4.31956619	0.599124107	3.073338934	0.0	1.602883689	1.506406999	1.772708767	2.541166266	0.43847	0.837811268	2.458628767	1.924203093	0.0	1.189295195	0.79409	2.408873754	0.79175	5.007178688	0.272746476	1.259080581	1.730060581	2.248346139	-0.092802773	1.45048155	1.485155663	2.184100672	4.120741905	1.118260848	2.731757338	1.225500593	0.0	0.66034	0.868593348	2.629022759	1.713706176	1.494277379	1.39611207	1.917280581	0.531688934	1.080726346	0.85295314	0.662927379	0.956436476	1.245610848	1.14401147	0.760551733	1.624197227	1.781453093	2.934835735	1.37109147	2.556533349	3.294183754	0.966246176	3.488491905	1.306355663	-0.126173001	1.57509	2.76502147	0.986155254	2.523971268	2.195153689	1.251300672	0.0	0.0	4.710251503	2.501651268	1.532588852	0.76281	4.911067338	3.685885663	6.006578688	2.044856472	2.421428852	2.699477338
CLUL1	0.82457207	0.571788767	0.0	0.26575155	0.0	-0.133987047	0.338863093	0.0	-0.119732773	0.33521	0.0	0.113246139	0.0	1.394706176	2.094068688	0.0	1.102786476	0.59398957	0.0	0.36249	0.897699649	0.30683	0.285893689	0.875318852	-0.112888316	0.0	-0.035325893	-0.326851066	0.360107379	1.300863689	-0.050663001	0.0	0.046776266	0.13357	0.0	0.0	0.300313093	0.483017499	-0.103104805	0.0	-0.234996246	0.0	0.373258688	-0.030803524	0.353870581	0.274590581	-0.059493861	0.0	0.27751155	0.050235663	0.171940672	0.185091905	-0.024959152	0.104657338	-0.352489407	0.05476	0.00829	0.0	0.448082759	-0.090243824	0.144187379	-0.39876793	0.241790581	-0.333241066	0.131606346	-0.23410686	0.0	-0.049753524	0.226570848	-0.07008853	0.590271733	-0.017542773	0.0	0.075195735	0.0	0.900883349	-0.225676246	-0.118063824	-0.138118095	-0.005444337	0.0	0.199	0.0	1.114225254	0.005141268	0.0	0.219600672	0.0	0.286425254	0.065551503	0.0	-0.104481148	0.21016	0.172317338	0.483435663	0.701598688	0.146806472	-0.015841148	0.0
HDGF	2.68640207	4.723328767	0.933114185	1.59990155	2.086384234	3.512202953	3.417793093	1.061421684	1.159387227	3.56973	4.38212	3.350526139	3.006650848	4.389136176	6.262788688	2.264825195	1.458956476	4.90075957	4.007788377	2.51296	3.771509649	3.53394	4.050833689	3.593108852	2.566631684	3.94738619	3.868444107	3.666548934	1.415837379	3.339363689	2.099346999	3.976368767	1.782846266	1.5118	1.555031268	3.049538767	2.930193093	2.705417499	3.057935195	1.74191	3.723363754	3.42808	5.456348688	1.482526476	1.895370581	1.373240581	3.189676139	0.797727227	3.31381155	2.351985663	2.747790672	3.007911905	3.190500848	3.151727338	3.871340593	2.53698	0.98546	2.713523348	2.862352759	3.910286176	1.626407379	4.04330207	1.349010581	1.238318934	0.883306346	3.18921314	3.238837379	1.110266476	3.604690848	2.19367147	2.138131733	3.096127227	2.314673093	2.345945735	2.12743147	3.266363349	3.444663754	0.196166176	3.050081905	3.319855663	1.279086999	3.7699	2.42970147	1.629405254	2.448051268	3.941303689	0.092660672	1.40222	2.346495254	2.813331503	2.203001268	1.683128852	1.00927	2.942947338	4.313715663	4.480458688	1.947096472	4.200848852	1.864977338
