	N120B	N123B	N124B	N126B	N130B	N131B	N138B	N140B	N144B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N155B	N158B	N160B	N161B	N163B	N164B	N165B	N166B	N169B	N171B	N172B	N176B	N178B	N179B	N182B	N185B	N186B	N187B	N188B	N189B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N205B	N210B	N212B	N214B	N215B	N216B	N217B	N218B	N221B	N222B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N259B	N261B	N265B	N267B	N268B	N269B	N270B	N153AB
CATG	7.032321287	6.375039431	6.311067102	7.135452784	5.809928866	4.770829046	6.006746832	5.432959407	5.830356747	6.856736756	6.669593751	5.0	7.010108453	5.161887682	6.92243574	5.711494907	5.01346226	6.195741293	5.255500733	5.563768278	6.673839056	6.442943496	6.06608919	4.744161096	5.797012978	5.087462841	7.160879862	5.40599236	7.237448996	6.529820947	6.617651119	6.736063628	5.680886921	5.462706751	6.371558863	6.167919866	7.154818109	5.581953751	6.553053253	6.692092375	6.029011087	6.74819285	4.62058641	7.13442632	4.807354922	6.461070114	6.875288598	6.307428525	6.92243574	6.368069877	6.081083929	6.521992956	5.50779464	5.867896464	5.442943496	7.958842675	4.812498225	6.098032083	7.033423002	5.623515741	7.709428501	6.783980414	5.578938713	6.390598906	6.361066489	6.006746832	7.437960088	4.554588852	6.346956889	5.385431037	7.060695932	5.921245889	4.711494907	5.984133595	5.933100475	5.733354341	7.21916852	4.694880193	5.909293086	5.860466259	7.531381461	5.867896464	5.649615459	6.761551232
CATZ	5.478971805	6.17990909	6.017921908	6.108524457	6.020146573	5.173926932	6.031218731	8.169423979	7.026800059	4.529820947	6.62497818	6.274261661	5.885086225	4.916476644	8.189824559	6.521992956	7.58345891	7.164906927	5.255500733	5.06608919	6.781359714	6.786596362	6.778734244	3.277984747	5.185866545	5.232660757	5.807354922	5.429615964	5.930737338	5.01346226	5.694880193	6.76420813	5.930737338	4.321928095	6.264911693	7.174925683	5.572889668	5.303780748	6.721099189	5.566815154	6.345183447	5.498250868	6.008988783	5.266786541	5.501439145	5.545350645	5.666756592	5.129283017	7.01234519	6.614709844	6.21916852	5.040015679	7.52277767	5.965784285	4.986410935	6.66106548	5.94016675	5.346956889	5.822730148	6.914086097	5.452858965	6.745506266	6.424586226	6.177917792	7.572889668	6.651051691	5.981852653	5.03562391	7.199672345	6.725195817	5.133399125	5.783980414	4.807354922	6.964629667	7.608069968	6.369815424	5.311067102	6.085339669	4.99095486	5.587964989	5.560714954	5.449561375	4.711494907	5.475733431
CYTB	5.357552005	6.274261661	5.259272487	5.83541884	5.442943496	5.822730148	5.51412226	7.609548139	6.321928095	5.031218731	7.656782364	5.545350645	5.882643049	5.988684687	7.166916252	6.483815777	5.857980995	6.924812504	6.029011087	5.087462841	7.208478242	7.554588852	6.223036338	4.566815154	5.28169825	5.303780748	5.906890596	5.419538892	6.596935142	5.857980995	5.730639956	5.944858446	7.272396509	5.921245889	6.270528942	6.255500733	6.572889668	5.842978832	6.48058827	6.06608919	5.752213368	5.697662633	6.708739041	5.289096702	5.596935142	6.613236955	6.145677455	6.862947248	7.182890893	6.685099172	6.321928095	5.894817763	6.851749041	5.626439137	5.478971805	6.8008999	5.683696454	5.10433666	5.741466986	6.387155718	5.899659026	6.444600814	6.334496768	6.704595348	6.831623937	6.6794801	6.226893814	5.857980995	7.741466986	6.081083929	5.741466986	5.485426827	5.091699834	6.77478706	6.147713722	6.82527683	5.28169825	6.159871337	5.918863237	5.539158811	5.314696526	5.918863237	6.714245518	5.300123725
CYTC	7.744833837	6.925999419	7.131342539	7.815063017	5.911691582	5.845490051	5.830356747	6.745506266	6.421223299	6.345183447	6.236492618	6.364572432	6.114783447	7.056366761	6.461070114	6.330916878	7.740118043	6.765534746	6.320123598	6.247927513	5.43629512	6.247927513	6.044394119	6.483815777	6.343407822	6.323730338	8.36018867	6.151777655	6.339850003	6.290940402	6.181897643	5.899659026	6.159871337	5.697662633	6.566815154	6.716990894	5.94016675	6.249824549	6.658211483	5.827819025	6.807354922	6.472487771	6.414473836	6.470862199	6.114783447	6.462706751	7.475733431	6.593951284	6.081083929	6.928370323	6.572889668	6.155830172	6.635173947	6.09592442	6.741466986	7.110613806	5.812498225	6.017921908	6.537606691	6.008988783	6.668175869	6.551516018	6.608809243	6.619119511	6.817623258	6.334496768	6.824004051	5.827819025	6.381975479	5.880195729	6.534497434	6.057450272	6.515699838	5.64385619	6.662490364	6.240314329	7.549207089	6.678071905	5.746850183	6.341630009	6.249824549	6.50779464	6.849248703	6.307428525
SULF1	6.830356747	7.094869433	5.947198584	6.307428525	5.213347282	6.87036472	6.807354922	7.278914019	6.861707287	6.334496768	5.465974465	6.754887502	6.574404309	5.865423978	6.826548487	7.107478647	7.697662633	7.366322214	6.876516947	6.82527683	6.543805176	6.82527683	6.330916878	7.627898616	6.441284272	6.17990909	7.17292749	6.846744023	6.875288598	6.556122818	6.366322214	6.419538892	6.820178962	6.029011087	6.672425342	6.97384084	5.314696526	7.01346226	6.676662335	6.048759312	7.195741293	6.846744023	6.426264755	6.874059203	6.147713722	6.809928866	7.632268215	5.649615459	6.089582893	6.62058641	6.424586226	6.068240861	7.182890893	6.055282436	6.87774425	6.746850183	7.339850003	5.842978832	8.386724741	6.712870868	6.934280594	6.627898616	7.193771743	6.133399125	6.472487771	6.846744023	6.610286657	5.426264755	6.518849829	6.015693807	6.987548259	6.419538892	7.036723106	6.429615964	6.62497818	6.510961919	5.752213368	6.470862199	6.665335917	5.714245518	7.040015679	6.485426827	6.238404739	6.332707934
SODE	7.572889668	5.381975479	7.900866808	6.193771743	3.786596362	6.668175869	6.30560579	6.490249211	5.332707934	7.256444596	4.602884409	7.621319301	6.696272084	7.733354341	5.557655155	6.821455119	6.595443985	6.593951284	7.690696444	7.084276911	4.812498225	6.318316841	6.30560579	7.710806434	7.046578367	6.662490364	6.996614715	6.721099189	5.9795681	7.278914019	6.730639956	6.632268215	6.414473836	7.747521673	7.145677455	6.501439145	6.400879436	7.093813673	5.736063628	6.803485376	7.256444596	7.213347282	7.150762744	6.442943496	7.29553937	7.205548911	7.080018029	7.791162889	6.266786541	6.553053253	7.203592714	6.876516947	6.978424465	7.173926932	7.999436337	7.405141463	6.626439137	7.498250868	6.244125943	5.40599236	6.504620392	6.38024459	6.44625623	3.523561956	6.296457407	7.521207816	6.984133595	7.23457796	4.596935142	4.364572432	6.99095486	6.700439718	7.399171094	6.696272084	6.746850183	5.916476644	4.87774425	7.077883864	6.685099172	7.004501392	6.45779126	8.372429792	7.61176256	7.371558863
GDN	6.490249211	6.753551055	5.968090752	6.933100475	6.793115555	8.008988783	6.205548911	7.687200695	7.28169825	6.17990909	5.770829046	6.298291731	6.371558863	6.112700133	6.037821465	6.369815424	8.321477182	7.479780264	5.672425342	5.185866545	7.122051448	7.642412773	7.257387843	7.434628228	4.765534746	4.765534746	6.996614715	6.197708158	6.537606691	5.64096791	6.5360529	5.201633861	6.469234794	5.439623138	7.372429792	7.902676587	4.472487771	6.368069877	5.736063628	5.649615459	7.52277767	6.247927513	6.137503524	5.773468928	4.300123725	6.557655155	6.599912842	5.255500733	6.518849829	6.867896464	6.412781525	6.033423002	7.273329387	6.850499414	5.812498225	7.438791853	7.54689446	6.223036338	6.40599236	5.921245889	6.669593751	5.906890596	6.112700133	6.061776198	6.51412226	6.338067798	6.402585758	4.902073579	6.887525271	6.226893814	6.137503524	5.875288598	6.289096702	5.984133595	6.837943242	6.687900522	6.44625623	6.177917792	6.01346226	4.602884409	7.128252152	5.277984747	6.251719093	6.921245889
HEP2	6.110613806	6.416164165	6.205548911	5.875288598	6.0	6.475733431	5.925999419	6.205548911	6.653919873	6.729280846	6.8008999	5.385431037	6.578938713	4.666756592	6.791814071	6.665335917	8.807998839	6.642412773	5.678071905	5.689299161	6.920055055	6.918863237	6.385431037	6.366322214	5.581953751	5.672425342	6.437960088	6.531381461	6.240314329	6.602884409	6.6395216	6.14363831	6.050936965	5.986410935	6.050936965	7.563768278	6.110613806	5.773468928	6.378511623	6.108524457	6.6794801	5.812498225	6.040015679	5.560714954	4.882643049	5.951867504	6.089582893	4.572889668	5.809928866	6.400879436	6.09592442	5.666756592	7.644577357	6.62935662	5.845490051	6.290940402	6.601399391	6.569855608	6.246027981	6.300123725	6.584962501	5.970393538	6.392317423	6.671010241	6.694880193	6.368069877	6.197708158	5.100136671	6.953032377	6.918863237	6.093813673	6.181897643	5.822730148	6.221103725	7.103287808	6.43629512	7.658211483	5.741466986	5.977279923	5.786596362	6.209453366	5.649615459	6.089582893	6.261154673
CPXM2	6.590961241	5.368069877	6.089582893	5.794415866	5.292781749	7.145677455	6.746850183	6.852997588	6.309248961	6.587964989	5.459431619	7.286326727	5.984133595	6.289096702	6.242221395	7.059614856	8.888134388	6.336283388	7.050936965	6.75087444	5.909293086	7.060695932	6.54225805	7.548436625	6.087462841	6.390598906	6.708739041	7.275193334	5.43629512	6.982993575	6.334496768	5.899659026	6.205548911	6.675251386	6.493455201	6.316507819	5.523561956	6.766860144	5.977279923	6.605849867	7.387155718	6.397460726	7.30833903	6.914086097	6.740118043	7.373300197	6.548436625	6.537606691	6.373300197	6.613236955	6.699051844	6.545350645	7.398316163	6.441284272	7.0	7.040015679	7.433794059	5.794415866	6.701826258	6.491853096	6.77478706	5.906890596	7.45532722	4.09592442	6.557655155	5.882643049	5.968090752	6.081083929	5.855491443	4.972692654	6.626439137	6.431288654	6.812498225	6.314696526	6.768184325	5.783980414	5.432959407	5.62058641	6.880195729	6.341630009	6.330916878	6.171927354	6.978424465	7.189824559
ITIH1	6.887525271	7.776103988	5.82527683	6.690696444	5.64385619	7.06501215	6.673839056	5.632268215	6.311067102	7.200653436	6.141596278	6.847996907	6.930737338	6.82527683	6.685099172	7.043300754	6.656782364	6.287250643	6.51412226	6.818901676	5.995484519	6.213347282	6.394033895	8.408542042	7.384567923	8.304237225	6.026800059	7.48864354	6.213347282	7.36719631	7.415319248	6.394033895	7.096978636	7.768184325	6.371558863	6.321928095	6.427941333	7.64385619	7.152791852	6.106432078	6.981852653	7.020146573	6.900866808	6.802193217	8.270061673	6.997744026	7.155830172	6.517275693	6.768184325	6.45779126	6.055282436	6.388878339	7.17292749	6.881419908	7.224001674	6.64096791	6.898450233	5.804776378	6.953032377	6.893604905	7.153805336	6.207502459	6.780047576	6.187846909	6.537606691	6.145677455	6.163901214	6.399171094	6.726558779	6.437960088	6.958842675	7.206526016	6.841721581	6.290940402	6.658211483	6.447909749	7.22881869	6.592457037	6.852997588	6.422905743	7.386293635	6.355791547	6.61176256	7.299208018
ITIH2	6.17990909	6.087462841	5.22881869	5.022367813	5.902073579	7.235535607	5.40599236	6.557655155	6.495055528	5.251719093	6.935459748	5.752213368	6.841721581	4.902073579	6.411087227	6.272396509	7.89542381	7.201633861	5.649615459	5.381975479	7.099084761	7.832890014	6.834154981	7.842978832	5.727920455	6.482202926	5.329123596	6.87774425	5.197708158	5.804776378	6.022367813	5.557655155	5.921245889	5.942514505	5.94016675	7.54303182	5.129283017	5.918863237	6.089582893	4.99095486	6.693486957	5.378511623	6.472487771	5.725195817	5.746850183	6.274261661	5.770829046	5.193771743	5.697662633	5.847996907	5.904484098	5.300123725	8.475328123	6.705977902	6.898450233	5.968090752	6.09592442	5.09592442	5.852997588	7.006746832	6.121015401	5.786596362	5.972692654	5.897240426	7.078951341	5.623515741	5.545350645	4.432959407	6.837943242	6.820178962	5.48864354	6.078951341	5.82527683	5.830356747	6.968090752	6.017921908	8.717676423	6.28169825	5.28169825	5.388878339	6.011227255	5.300123725	5.213347282	6.6395216
ITIH3	6.886306263	7.637349411	6.46760555	7.091699834	7.016808288	6.312882955	6.61176256	6.424586226	6.908092341	6.899470825	6.496654083	6.607330314	6.783980414	6.616181231	6.197708158	6.40599236	7.168922782	6.330916878	6.309248961	5.548436625	6.92243574	6.495055528	6.988684687	8.04384754	5.683696454	5.666756592	6.912176769	6.373300197	6.701172724	6.741466986	6.816343705	6.244125943	6.531381461	6.521992956	6.601399391	6.161887682	5.632268215	7.195741293	6.462706751	6.147713722	6.596935142	6.45779126	6.03562391	5.449561375	8.222553427	6.368069877	7.107478647	6.48058827	6.048759312	6.687900522	6.412351957	6.268658955	6.517275693	6.711494907	6.642412773	6.427941333	6.21916852	5.82527683	6.64385619	6.460349954	7.507001733	6.523561956	7.188836073	6.601399391	7.112700133	6.483815777	6.710117632	5.768184325	6.387155718	5.909293086	6.25363608	6.882643049	7.450386479	6.898450233	6.668158408	7.026800059	7.283551423	5.981852653	6.091699834	5.557655155	6.571373436	5.274261661	6.918863237	6.812498225
ITIH4	6.343407822	7.057450272	5.705977902	5.892391026	6.920055055	6.744161096	5.746850183	5.744161096	6.856736756	6.465974465	6.909293086	5.232660757	7.429615964	5.346956889	6.215290306	6.362820526	7.932510053	6.14974712	5.343407822	5.432959407	6.761551232	6.556122818	6.787902559	5.942514505	6.0	5.87774425	6.636624621	6.50779464	6.682292371	6.712870868	6.8008999	5.703211467	6.187846909	6.247927513	6.091699834	6.855491443	5.329123596	5.958842675	5.855491443	5.575917361	6.859224162	6.189824559	5.916476644	6.059614856	5.972692654	6.447909749	6.43629512	5.638073837	6.28169825	6.496654083	5.892391026	5.87282876	7.333602628	6.768184325	6.221103725	5.902073579	6.452858965	5.578938713	6.658211483	6.947198584	7.311067102	5.867896464	6.700439718	6.392317423	7.008988783	6.006746832	6.783980414	5.711494907	7.294620749	7.728600811	6.371558863	6.102238194	6.087462841	5.746850183	6.892391026	7.405141463	9.024862627	5.94016675	6.063934306	5.173926932	6.343407822	4.958842675	6.022367813	6.289096702
ITIH5	7.745506266	6.015693807	7.12722055	6.565466481	6.503030646	6.441284272	6.259272487	6.521992956	5.678071905	6.917670434	5.794415866	7.318971284	7.261154673	7.557655155	6.292781749	6.193771743	6.38024459	6.667058166	6.899659026	6.534497434	5.311067102	6.343834308	7.450386479	6.361066489	8.627169061	7.373300197	7.099429005	7.908092341	6.962631243	8.043300754	7.156683004	6.773468928	7.225930411	6.851749041	6.355791547	6.024585638	6.381975479	6.752213368	6.055282436	7.394891366	6.509379149	6.475733431	6.944858446	7.147713722	8.500244367	6.559185866	7.067165427	7.057450272	6.935459748	6.635173947	7.71908141	8.319672121	6.100136671	7.381110294	7.573647187	7.361066489	7.178913785	7.444600814	5.958842675	6.187846909	6.355791547	6.920055055	6.610286657	5.354028938	6.266786541	7.118941073	7.484621527	8.472487771	6.371558863	5.760220946	6.854245054	6.997744026	7.880195729	7.602884409	6.515623775	6.459431619	6.371558863	7.144658243	7.494255587	7.569855608	5.852997588	7.437960088	7.970569338	7.20261362
KNG1	8.31152128	5.906890596	7.472487771	5.395748328	5.778734244	6.54225805	5.794415866	5.402585758	6.752213368	6.608809243	6.274261661	6.321928095	7.244125943	4.255500733	6.279842694	7.019034669	8.004501392	6.651051691	6.888743249	4.925999419	5.783980414	5.760220946	5.897240426	4.812498225	6.232660757	5.897240426	7.223036338	7.409390936	7.290940402	5.205548911	6.671010241	4.807354922	5.722466024	4.963474124	6.948367232	7.20261362	5.680886921	5.741466986	6.447909749	4.694880193	6.203592714	6.572889668	7.144658243	4.716990894	4.94016675	6.725195817	6.375039431	4.426264755	5.173926932	5.837943242	5.569855608	4.548436625	7.276124405	7.40599236	5.385431037	7.176921112	7.515699838	5.129283017	7.298291731	5.617651119	7.503825738	6.439623138	6.658211483	6.994353437	6.483815777	4.62058641	6.968090752	4.99095486	5.862947248	6.131342539	6.217230716	6.737416366	7.374170076	6.867896464	7.159871337	7.141596278	7.302867361	5.560714954	6.936637939	4.842978832	4.689299161	5.5360529	6.432959407	5.714245518
LYSC	7.548436625	6.789207575	6.341630009	7.731319031	4.705977902	4.722466024	6.491853096	5.189824559	5.429615964	7.221103725	6.224966365	5.091699834	6.562242424	6.355791547	6.118941073	6.061776198	7.198690586	6.276124405	7.268658955	5.266786541	6.329123596	5.465974465	6.683696454	7.589463893	6.205548911	6.050936965	8.131342539	4.566815154	5.336283388	5.733354341	6.17990909	5.28169825	5.83541884	6.896029603	7.048759312	7.428778891	4.94016675	6.345183447	5.862947248	5.626439137	7.675251386	5.744161096	5.266786541	5.61176256	5.277984747	7.188836073	7.903279342	6.756222713	6.378511623	7.662490364	6.793115555	7.017921908	6.03562391	5.0	7.651051691	6.399171094	5.560714954	6.923624611	7.675957033	4.626439137	7.566054038	6.385431037	7.865423978	5.116863758	7.096978636	7.03562391	7.137503524	5.224966365	5.921245889	4.554588852	6.705977902	5.277984747	6.300123725	5.48864354	6.131342539	5.694880193	6.482202926	5.307428525	5.9795681	6.21916852	7.063934306	6.933100475	5.928370323	6.54225805
LOXL1	6.373300197	8.297374861	8.284477118	7.155830172	6.696272084	6.520422249	6.730639956	7.299208018	5.711494907	7.82527683	6.690696444	6.545350645	6.294620749	6.846744023	6.651051691	5.923624611	6.226893814	6.037821465	6.387155718	7.182890893	5.232660757	6.215290306	6.892391026	6.741466986	7.083213368	6.798309782	6.928370323	6.54689446	6.163901214	6.464341533	6.803485376	7.017921908	6.58345891	6.355791547	7.078951341	6.046578367	6.754887502	6.584962501	6.048759312	6.477353527	6.731997787	7.108524457	6.412781525	7.101187815	5.832890014	6.330916878	7.277054876	6.577428828	5.885086225	6.074676686	7.161887682	7.778734244	6.482202926	6.908092341	6.207502459	6.811214118	6.778734244	8.22881869	5.875288598	6.307428525	7.278914019	5.921245889	6.539158811	5.632268215	6.352264173	7.128252152	7.216260837	6.498250868	5.875288598	5.658211483	6.23457796	6.974988112	7.754219433	6.14363831	6.439623138	6.592457037	4.958842675	7.125155131	6.648177796	7.341630009	7.093813673	6.483815777	7.191799501	7.124121312
MMP12	5.82527683	6.736063628	3.03562391	6.329123596	5.399171094	4.201633861	5.714245518	6.171927354	7.477353527	5.125155131	7.73809226	4.906890596	7.205548911	5.244125943	7.412781525	5.820178962	5.852997588	5.141596278	4.008988783	5.255500733	7.34251919	6.329123596	5.378511623	2.906890596	6.135452784	5.623515741	6.715618859	4.944858446	6.690696444	3.99095486	7.646018611	5.501439145	7.043300754	3.201633861	6.147713722	8.178913785	5.181897643	4.614709844	7.673839056	5.28169825	6.266786541	6.102238194	4.432959407	7.136478518	3.572889668	6.114783447	6.091699834	6.741466986	7.369815424	6.935459748	3.608809243	5.292781749	7.310158318	6.419538892	3.560714954	9.195741293	5.741466986	4.137503524	5.807354922	7.053111336	6.429615964	7.760220946	5.626439137	5.789207575	7.663913842	5.951867504	6.311067102	3.744161096	7.740118043	5.399171094	5.031218731	5.9795681	3.817623258	6.87774425	6.173926932	5.768184325	5.532940288	2.678071905	3.485426827	5.933100475	6.230741003	3.689299161	4.465974465	5.741466986
MMP7	3.459431619	5.329123596	3.247927513	4.694880193	4.510961919	3.972692654	5.851636898	7.671717965	6.636624621	3.053111336	6.957682486	3.498250868	5.224966365	2.10433666	7.749534268	5.789207575	5.165911939	6.055282436	4.026800059	3.700439718	7.273329387	7.911092332	6.955359305	2.560714954	2.232660757	3.350497247	4.412781525	2.608809243	4.510961919	5.34944779	6.116863758	4.321928095	2.944858446	2.678071905	5.50779464	7.794415866	3.030397585	2.232660757	6.264911693	5.559860049	5.259272487	4.09592442	4.008988783	3.786596362	2.827819025	6.189824559	4.053111336	3.498250868	8.642412773	5.752213368	3.744161096	5.572889668	8.714588976	3.64385619	1.807354922	6.081083929	4.343407822	5.82882088	4.40599236	6.82527683	5.51412226	6.354028938	5.902073579	5.736063628	8.953614461	5.862947248	5.50779464	2.700439718	8.936932337	6.472487771	4.727920455	3.03562391	1.201633861	6.587964989	6.100136671	4.716990894	4.292781749	1.070389328	3.378511623	1.378511623	5.485426827	3.017921908	3.263034406	4.061776198
TIMP1	5.416164165	6.145677455	5.539158811	5.332707934	5.307428525	6.578938713	5.95419631	7.442943496	7.06501215	5.346956889	6.226893814	5.303780748	6.316507819	4.678071905	7.195741293	6.217230716	8.090641752	7.01234519	5.395748328	4.716990894	6.875288598	7.754887502	6.057450272	5.09592442	4.963474124	5.048759312	6.338067798	5.791814071	6.264911693	4.371558863	6.352264173	5.263034406	5.972692654	4.632268215	6.240314329	7.496654083	4.385431037	4.727920455	5.842978832	4.649615459	6.414473836	5.217230716	5.14974712	5.557655155	4.232660757	5.87774425	5.789207575	5.177917792	6.290940402	6.707359132	5.867896464	5.346956889	7.613236955	6.28169825	4.95419631	6.936637939	5.930737338	4.343407822	6.153805336	6.199672345	6.242221395	6.651051691	5.760220946	5.646738698	7.113742166	5.727920455	6.157852169	3.935459748	7.372429792	6.133399125	5.539158811	5.432959407	5.121015401	6.378511623	6.864186145	5.961160258	6.994353437	5.993221467	5.091699834	5.566815154	6.040015679	5.285402219	5.251719093	5.730639956
TIMP2	6.482202926	6.181886108	6.548436625	5.439623138	5.116863758	5.87036472	6.375039431	7.298291731	6.279842694	5.545350645	6.426546552	7.01346226	6.393660619	5.923624611	6.545350645	6.704595348	7.325530332	7.507001733	6.888743249	6.040015679	6.081083929	6.899659026	6.760220946	6.193771743	6.459431619	6.074676686	6.318316841	6.161887682	5.923624611	6.187846909	6.185866545	5.311067102	6.822730148	6.66106548	6.708654192	7.236492618	5.62058641	6.345183447	6.28169825	6.714245518	6.680886921	6.008988783	6.97384084	6.515699838	6.217230716	6.66106548	6.472487771	6.62497818	6.665335917	6.251719093	6.584962501	6.982993575	7.802193217	5.765534746	7.930145948	6.501971738	6.745506266	5.617651119	6.531381461	6.06608919	6.565259409	6.537606691	6.520422249	6.619610988	6.790271074	6.658211483	6.543805176	6.338067798	6.097589989	5.860466259	6.385431037	6.289096702	6.403183679	6.355791547	5.995484519	6.125155131	6.477353527	6.805518333	6.518849829	6.725195817	6.309248961	6.840463234	6.532940288	6.625503599
TIMP3	6.449561375	7.229780167	6.061776198	6.656782364	4.66106548	5.678071905	6.301193679	5.794415866	6.427941333	6.601399391	6.982993575	5.14974712	6.622051819	4.822730148	7.388017285	6.757556689	6.268658955	6.816343705	5.807354922	5.722466024	7.182890893	5.517275693	5.395748328	6.6794801	5.608809243	5.529820947	6.761551232	3.765534746	7.020146573	6.279542624	6.925999419	5.209453366	5.449561375	6.412781525	6.76420813	7.068240861	5.399920919	6.029011087	6.131342539	6.224141244	6.799605422	6.876516947	5.551516018	5.791814071	3.906890596	6.86913112	6.758889433	5.300123725	6.678071905	6.54225805	5.517275693	5.263034406	7.476543706	5.738767837	6.108524457	7.439623138	5.847996907	6.293793192	7.062855655	5.968090752	6.777419716	7.193771743	6.454504938	6.855491443	7.54303182	6.303780748	7.246027981	4.255500733	7.301953395	6.249824549	6.195741293	5.944858446	5.083213368	6.089582893	6.690696444	6.100136671	4.044394119	2.944858446	5.626439137	5.529820947	7.41869595	6.54225805	5.700439718	6.569855608
PRDX1	5.694880193	5.977279923	6.697662633	6.121015401	4.678071905	6.055282436	6.251719093	7.071462363	6.173926932	5.965784285	6.312882955	6.662490364	6.38024459	6.733354341	6.753551055	6.678071905	5.563768278	6.753551055	6.820178962	6.665335917	6.318316841	7.081083929	6.941341105	6.296457407	6.961160258	6.655351829	6.578938713	6.123086751	6.100136671	6.850499414	6.294620749	6.953032377	7.452035274	7.441284272	6.509379149	6.30560579	7.030115331	6.935459748	6.392317423	6.902073579	6.773468928	6.669593751	7.076815597	6.498250868	6.46760555	6.193771743	6.390598906	6.746850183	7.069315495	6.303780748	6.905687849	6.980710829	6.464341533	6.587964989	7.13442632	6.577428828	6.749534268	7.343407822	6.475733431	6.244125943	6.057450272	6.531381461	6.798309782	5.587964989	6.730639956	7.334496768	6.368069877	8.036723106	6.526694846	5.361066489	6.5360529	6.452858965	6.422905743	6.605849867	6.137503524	6.509379149	5.388878339	6.789207575	6.6395216	7.067165427	6.17990909	6.978424465	7.479780264	6.177917792
PRDX2	6.929554316	5.830356747	6.285402219	6.414473836	5.817623258	5.902073579	6.249824549	6.477353527	5.64385619	6.548436625	6.371558863	6.417852515	6.031218731	6.427941333	6.862947248	6.249824549	5.205548911	5.416164165	6.8899602	6.277984747	7.263973355	5.802193217	7.699745948	5.997744026	6.840463234	6.199672345	6.623515741	5.8899602	6.155830172	7.173926932	6.662490364	6.566815154	6.224966365	7.296457407	6.554588852	8.230260665	7.286326727	7.837943242	5.781359714	6.589463893	6.969242604	6.441284272	6.112700133	6.301953395	6.523561956	6.371558863	6.668175869	6.846744023	6.596935142	5.911691582	6.980710829	7.178913785	6.757556689	6.334496768	6.721099189	6.026800059	6.247927513	7.316507819	6.211401637	6.596935142	6.089582893	6.091699834	6.183883459	5.783980414	6.249824549	6.826548487	6.301953395	7.05202456	6.397460726	5.285402219	6.289096702	6.247927513	6.211401637	6.015693807	6.40599236	6.121015401	5.517275693	6.822730148	6.397460726	6.655351829	6.10433666	6.808642468	6.829088444	6.221103725
PEDF	6.133399125	4.995484519	6.106432078	5.03562391	5.459431619	5.974988112	5.781359714	6.671010241	6.6395216	5.459431619	5.970393538	6.635173947	6.592457037	5.343407822	6.653919873	6.964629667	8.722124437	9.118422024	5.48864354	5.495055528	6.28169825	6.590961241	6.087462841	5.100136671	5.125155131	4.852997588	7.343407822	6.311067102	5.529820947	5.087462841	5.807354922	4.807354922	5.482202926	4.827819025	6.123086751	6.860466259	4.572889668	5.958842675	5.730639956	5.017921908	6.070389328	5.108524457	6.100136671	5.274261661	4.689299161	5.719731057	5.794415866	4.842978832	4.781359714	6.663913842	5.388878339	4.857980995	7.54303182	6.093813673	5.822730148	6.988684687	6.266786541	4.523561956	6.024585638	6.518849829	5.830356747	5.311067102	5.921245889	6.51412226	6.475733431	4.99095486	5.719731057	3.906890596	6.593951284	7.030115331	5.551516018	5.802193217	5.752213368	6.061776198	7.389738879	5.909293086	7.937226674	5.224966365	5.399171094	5.074676686	5.569855608	5.141596278	4.887525271	5.48864354
IC1	5.887525271	6.22881869	6.033423002	6.029011087	6.794415866	6.812498225	5.587964989	6.483815777	6.757556689	6.242221395	6.348728154	5.744161096	6.816343705	5.551516018	6.758889433	6.364572432	7.640244936	6.456149035	5.744161096	6.230741003	7.117902789	6.419538892	7.263034406	6.23457796	5.605849867	6.232660757	6.274261661	6.459431619	5.850499414	5.789207575	6.44625623	5.593951284	5.867896464	6.822730148	5.914086097	7.689299161	4.852997588	6.203592714	5.221103725	5.201633861	6.387155718	5.935459748	5.855491443	6.259272487	5.672425342	6.029011087	5.949534933	5.442943496	6.217230716	6.411087227	5.867896464	5.965784285	8.200653436	6.232660757	6.437960088	5.510961919	6.495055528	5.22881869	5.9795681	6.133399125	6.475733431	5.602884409	6.64096791	6.752213368	7.083213368	6.037821465	6.207502459	4.485426827	6.955359305	7.549977143	6.207502459	6.354028938	5.652486495	5.719731057	6.882643049	6.283551423	8.009548727	6.068240861	6.040015679	4.968090752	5.799605422	4.807354922	6.575917361	6.5360529
